DATE,BS,TV,TMAX,TMIN,TS
1/1/70 0:00,220.8,26.2,33.36,22.24,27.8
2/1/70 0:00,167.4,25.7,34.32,22.88,28.6
3/1/70 0:00,176.3,26,34.08,22.72,28.4
4/1/70 0:00,158.7,27.4,32.16,21.44,26.8
5/1/70 0:00,220,21,21.2,19.1,26.5
6/1/70 0:00,173.4,25.6,32.28,21.52,26.9
7/1/70 0:00,208.2,22.4,33.72,22.48,28.1
8/1/70 0:00,189.5,21.9,33.6,22.4,28
9/1/70 0:00,162.2,22.7,33,22,27.5
10/1/70 0:00,180,24.7,31.92,21.28,26.6
11/1/70 0:00,196.3,26.2,31.32,20.88,26.1
12/1/70 0:00,191.9,27.4,31.8,21.2,26.5
1/1/71 0:00,174.6,28,31.92,21.28,26.6
2/1/71 0:00,137.3,26,31.08,20.72,25.9
3/1/71 0:00,155,27.3,31.08,20.72,25.9
4/1/71 0:00,150.6,27.6,31.2,20.8,26
5/1/71 0:00,220,26.9,30.72,20.48,25.6
6/1/71 0:00,151.6,28.1,31.44,20.96,26.2
7/1/71 0:00,197.2,25,32.16,21.44,26.8
8/1/71 0:00,166.8,24.6,31.8,21.2,26.5
9/1/71 0:00,182.9,25.1,31.8,21.2,26.5
10/1/71 0:00,183.3,25.7,31.08,20.72,25.9
